time,d,rssi
1650977538.0,6.0,85.0
1650977538.0,3.0,64.0
1650977538.0,9.0,86.0
1650977538.0,1.0,63.0
1650977539.0,6.0,79.0
1650977539.0,1.0,58.0
1650977539.0,3.0,67.0
1650977540.0,6.0,79.0
1650977540.0,9.0,85.0
1650977541.0,3.0,67.0
1650977542.0,1.0,58.0
1650977543.0,9.0,80.0
1650977544.0,6.0,71.0
1650977544.0,1.0,55.0
1650977545.0,3.0,63.0
1650977545.0,6.0,71.0
1650977545.0,1.0,54.0
1650977545.0,3.0,69.0
1650977546.0,9.0,81.0
1650977546.0,6.0,71.0
1650977547.0,1.0,63.0
1650977547.0,3.0,64.0
1650977548.0,9.0,79.0
1650977549.0,1.0,58.0
1650977549.0,3.0,67.0
1650977549.0,6.0,87.0
1650977549.0,3.0,67.0
1650977551.0,1.0,57.0
1650977551.0,9.0,82.0
1650977552.0,6.0,78.0
1650977553.0,3.0,63.0
1650977553.0,9.0,81.0
1650977554.0,6.0,75.0
1650977554.0,1.0,55.0
1650977555.0,3.0,65.0
1650977556.0,6.0,71.0
1650977556.0,3.0,63.0
1650977556.0,9.0,83.0
1650977557.0,6.0,77.0
1650977557.0,1.0,61.0
1650977558.0,3.0,75.0
1650977559.0,3.0,65.0
1650977560.0,6.0,84.0
1650977560.0,1.0,65.0
1650977561.0,3.0,73.0
1650977561.0,9.0,74.0
1650977562.0,6.0,80.0
1650977562.0,3.0,69.0
1650977563.0,9.0,77.0
1650977564.0,1.0,61.0
1650977575.0,9.0,85.0
1650977576.0,3.0,63.0
1650977576.0,9.0,79.0
1650977577.0,6.0,75.0
1650977577.0,1.0,60.0
1650977577.0,9.0,81.0
1650977578.0,3.0,65.0
1650977578.0,1.0,68.0
1650977578.0,3.0,65.0
1650977579.0,9.0,79.0
1650977580.0,6.0,77.0
1650977580.0,1.0,63.0
1650977581.0,1.0,74.0
1650977581.0,3.0,63.0
1650977582.0,6.0,79.0
1650977582.0,3.0,62.0
1650977584.0,1.0,63.0
1650977584.0,3.0,79.0
1650977585.0,9.0,87.0
1650977586.0,6.0,77.0
1650977586.0,1.0,61.0
1650977586.0,3.0,63.0
1650977587.0,9.0,86.0
1650977588.0,1.0,60.0
1650977588.0,1.0,60.0
1650977588.0,9.0,80.0
1650977589.0,3.0,67.0
1650977590.0,9.0,75.0
1650977591.0,6.0,87.0
1650977591.0,1.0,59.0
1650977591.0,1.0,60.0
1650977591.0,3.0,63.0
1650977593.0,6.0,71.0
1650977593.0,1.0,65.0
1650977593.0,3.0,59.0
1650977593.0,9.0,80.0
1650977595.0,3.0,61.0
1650977596.0,1.0,62.0
1650977597.0,6.0,84.0
1650977597.0,3.0,65.0
1650977598.0,3.0,68.0
1650977598.0,1.0,61.0
1650977599.0,1.0,70.0
1650977600.0,6.0,84.0
1650977601.0,1.0,59.0
1650977601.0,3.0,71.0
1650977602.0,6.0,83.0
1650977602.0,6.0,84.0
1650977602.0,1.0,59.0
1650977602.0,3.0,65.0
1650977602.0,9.0,79.0
1650977604.0,3.0,66.0
1650977605.0,1.0,55.0
1650977605.0,6.0,73.0
1650977605.0,1.0,56.0
1650977605.0,9.0,83.0
1650977606.0,3.0,62.0
